ID,farmer_name,training_day,gender,registration,age,group_name,belong_to_cooperative,county,subcounty,ward,adopted_within_07_days,adopted_within_90_days,adopted_within_120_days,has_topic_trained_on,trainer,topics_list
ID_HBTTLW,FAR_zmwknjy,2024-01-03,Female,Manual,Above 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,TRA_szrwyfzz,"['Ndume App', 'Poultry Feeding']"
ID_LS19RT,FAR_zjaxbcf,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Biosecurity In Poultry Farming', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'How To Rear Healthy Chicken With Biodeal.', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Unga Dairy Feeds', 'Hygiene And Health Products']"
ID_H0G1PB,FAR_zjaxbcf,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_HTSLV0,FAR_zjaxbcf,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_2PLV3U,FAR_zjaxbcf,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_GTOG12,FAR_qkshzuh,2024-01-03,Female,Ussd,Above 35,GRP_zmblxsw,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Asili Fertilizer (Organic)', 'Benfits Of Sistema Biogas', 'Biosecurity In Poultry Farming', 'Calf Feeding', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken For Meat', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'How To Manage Pest And Diseases At Harvesting Stage', 'How To Rear A Calf With Unga Products', 'How To Rear Healthy Chicken With Biodeal.', 'Importance Of Choosing The Right Seed Variety', 'Livestock Management Practices.', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Successfull Breeding With Crv', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Unga Dairy Feeds', 'Hygiene And Health Products', 'Weed Management In Maize And Beans']"
ID_UN03VM,FAR_qkshzuh,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_SV35B2,FAR_qkshzuh,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_VNZE7A,FAR_qkshzuh,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_RNMYZB,FAR_uvkirlw,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy']"
ID_RJEXLA,FAR_uvkirlw,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_JNTZ7P,FAR_uvkirlw,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_IV55SW,FAR_uvkirlw,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_YE4V4Z,FAR_nuszpwa,2024-01-03,Female,Manual,Above 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,TRA_szrwyfzz,"['Ndume App', 'Poultry Feeding']"
ID_K0Y7IJ,FAR_hfwukgh,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,"['Asili Fertilizer (Organic)', 'Benfits Of Sistema Biogas', 'Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Health Management', 'Dairy Nutrition With Tyari', 'Diseases In Dairy Farming', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken For Meat', 'How To Manage Pest And Diseases At Harvesting Stage', 'How To Rear A Calf With Unga Products', 'How To Rear Healthy Chicken With Biodeal.', 'Importance Of Choosing The Right Seed Variety', 'Importance Of Vaccinations And Record', 'Livestock Management Practices.', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Pest And Disease Management In Maize And Beans', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Feeding With Tyari', 'Poultry Health Management', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Successfull Breeding With Crv', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Weed Management In Maize And Beans']"
ID_5HXH9R,FAR_bpqaivm,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_IC8JEP,FAR_bpqaivm,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_W9XMDB,FAR_bpqaivm,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_XG173C,FAR_uzcryxt,2024-01-03,Female,Ussd,Above 35,GRP_tmiwbjw,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Calf Feeding', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken For Meat', 'How To Rear A Calf With Unga Products', 'How To Rear Healthy Chicken With Biodeal.', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Housing', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving']"
ID_TI6GZB,FAR_oqcvend,2024-01-03,Female,Ussd,Above 35,GRP_zemrbsy,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_7GHXSY,FAR_oqohyjf,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Asili Fertilizer (Organic)', 'Benfits Of Sistema Biogas', 'Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Health Management', 'Dairy Nutrition With Tyari', 'Diseases In Dairy Farming', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken For Meat', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'How To Manage Pest And Diseases At Harvesting Stage', 'How To Rear A Calf With Unga Products', 'How To Rear Healthy Chicken With Biodeal.', 'Importance Of Choosing The Right Seed Variety', 'Livestock Management Practices.', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Feeding With Tyari', 'Poultry Health Management', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Unga Dairy Feeds', 'Hygiene And Health Products']"
ID_6035H2,FAR_oqohyjf,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_LWNK38,FAR_oqohyjf,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_CRDH4Z,FAR_oqohyjf,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_BJWA7D,FAR_yabagxw,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Asili Fertilizer (Organic)', 'Biosecurity In Poultry Farming', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'How To Rear Healthy Chicken With Biodeal.', 'Importance Of Choosing The Right Seed Variety', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Unga Dairy Feeds', 'Hygiene And Health Products', 'Weed Management In Maize And Beans']"
ID_FHHCRR,FAR_yabagxw,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_CYFUZA,FAR_yabagxw,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_TK0DXD,FAR_yabagxw,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_KZ1158,FAR_ruvcpdy,2024-01-03,Female,Manual,Above 35,GRP_zemrbsy,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Biosecurity In Poultry Farming', 'How To Rear A Calf With Unga Products', 'How To Rear Healthy Chicken With Biodeal.', 'Poultry Housing', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving']"
ID_S4JKPA,FAR_ruvcpdy,2024-01-03,Female,Manual,Above 35,GRP_zemrbsy,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_Y3LKPM,FAR_hcrqmjx,2024-01-03,Female,Ussd,Above 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,TRA_szrwyfzz,"['Ndume App', 'Poultry Feeding']"
ID_0YDNV7,FAR_vkjookv,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,"['Asili Fertilizer (Organic)', 'Calf Feeding', 'Dairy Health Management', 'Dairy Nutrition With Tyari', 'Diseases In Dairy Farming', 'How To Feed Kienyeji Chicken For Meat', 'How To Rear A Calf With Unga Products', 'Importance Of Choosing The Right Seed Variety', 'Importance Of Vaccinations And Record', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Pest And Disease Management In Maize And Beans', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Feeding With Tyari', 'Poultry Health Management', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Successfull Breeding With Crv', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Weed Management In Maize And Beans']"
ID_6TW1TW,FAR_fedmsrx,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Health Management', 'Dairy Nutrition With Tyari', 'Diseases In Dairy Farming', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken For Meat', 'How To Rear A Calf With Unga Products', 'How To Rear Healthy Chicken With Biodeal.', 'Poultry Feeding With Tyari', 'Poultry Health Management', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Unga Dairy Feeds', 'Hygiene And Health Products']"
ID_7KQ2JI,FAR_fedmsrx,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_O472QL,FAR_fedmsrx,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_TT0KQA,FAR_fedmsrx,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_KOJYGW,FAR_wifskdj,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Unga Dairy Feeds', 'Hygiene And Health Products']"
ID_DM0DA0,FAR_wifskdj,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Products']
ID_SZTJJQ,FAR_wifskdj,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Record Keeping In Dairy']
ID_0GWR6L,FAR_wifskdj,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_1UHU81,FAR_mdybbvz,2024-01-03,Male,Ussd,Below 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,TRA_szrwyfzz,"['Ndume App', 'Poultry Feeding']"
ID_1JO96D,FAR_rcbsahl,2024-01-03,Female,Manual,Above 35,GRP_tmiwbjw,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Calf Feeding', 'Feeding A Lactating Cow', 'How To Feed Kienyeji Chicken For Meat', 'How To Rear A Calf With Unga Products', 'How To Rear Healthy Chicken With Biodeal.', 'Poultry Housing', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving']"
ID_AP2MNL,FAR_rcbsahl,2024-01-03,Female,Ussd,Below 35,GRP_zemrbsy,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,TRA_rkvyofbh,['Poultry Housing']
ID_OPQ59W,FAR_uopdvxa,2024-01-03,Female,Ussd,Below 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,TRA_szrwyfzz,"['Ndume App', 'Poultry Feeding']"
ID_9EMN81,FAR_rzfkeuy,2024-01-03,Female,Manual,Above 35,GRP_zmblxsw,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,0,TRA_rkvyofbh,"['Asili Fertilizer (Organic)', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'Importance Of Choosing The Right Seed Variety', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy', 'Successfull Breeding With Crv', 'Unga Dairy Feeds', 'Hygiene And Health Products', 'Weed Management In Maize And Beans']"
ID_02G6B1,FAR_nqnebqa,2024-01-03,Female,Ussd,Above 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,TRA_szrwyfzz,"['Ndume App', 'Poultry Feeding']"
ID_CLE1AH,FAR_tttuowx,2024-01-04,Male,Ussd,Below 35,GRP_nbhirzh,0,CNT_lpotuu,SUB_ywivmgg,WRD_yyqhdtxn,0,0,0,0,TRA_szrwyfzz,"['How To Succeed In Breeding', 'Microp+ Planting', 'Poultry Management Practices', 'Yara Maziwa Pro']"
ID_UV67CC,FAR_cordlmw,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Poultry Feeding']
ID_VB8EU0,FAR_cordlmw,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Yara Maziwa Pro']
ID_J3570L,FAR_cordlmw,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Poultry Management Practices']
ID_XDOBLR,FAR_cordlmw,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['How To Succeed In Breeding']
ID_FRU0PJ,FAR_illbzcd,2024-01-04,Female,Ussd,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['Poultry Feeding']
ID_CV4TC9,FAR_illbzcd,2024-01-04,Female,Ussd,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['How To Succeed In Breeding']
ID_A1Q6AK,FAR_illbzcd,2024-01-04,Female,Ussd,Above 35,GRP_ptpklma,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['Herd Health']
ID_6JJQYM,FAR_illbzcd,2024-01-04,Female,Ussd,Above 35,GRP_ptpklma,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['Poultry Management Practices']
ID_LJR3P9,FAR_psudkku,2024-01-04,Male,Ussd,Below 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,TRA_gertumxc,['Microp+ Planting']
ID_NMYG08,FAR_psudkku,2024-01-04,Male,Ussd,Below 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,TRA_gertumxc,['Poultry Management Practices']
ID_QVKID4,FAR_psudkku,2024-01-04,Male,Ussd,Below 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,TRA_gertumxc,['How To Succeed In Breeding']
ID_KEYVJY,FAR_psudkku,2024-01-04,Male,Ussd,Below 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,TRA_gertumxc,['Yara Maziwa Pro']
ID_2GSHX6,FAR_kimbyje,2024-01-04,Female,Ussd,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['Poultry Feeding']
ID_U1JUXC,FAR_kimbyje,2024-01-04,Female,Ussd,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['How To Succeed In Breeding']
ID_W5LYEE,FAR_kimbyje,2024-01-04,Female,Ussd,Above 35,GRP_ptpklma,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['Herd Health']
ID_VRUW48,FAR_ruzgfok,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Poultry Feeding']
ID_2UKQH1,FAR_ruzgfok,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Yara Maziwa Pro']
ID_ZP6L1J,FAR_ruzgfok,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Poultry Management Practices']
ID_S4SEFJ,FAR_ruzgfok,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['How To Succeed In Breeding']
ID_PRMUTN,FAR_vsbxlrq,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Poultry Feeding']
ID_5MSD3W,FAR_vsbxlrq,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Yara Maziwa Pro']
ID_8A83GT,FAR_vsbxlrq,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['Poultry Management Practices']
ID_A8HRIK,FAR_vsbxlrq,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,TRA_kkzpfdtu,['How To Succeed In Breeding']
ID_SP45EB,FAR_sdjpvcs,2024-01-04,Female,Manual,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['Poultry Feeding']
ID_VQ7PS5,FAR_cgzvujk,2024-01-04,Female,Manual,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,TRA_suiifsur,['Poultry Feeding']
